Country,Year,Count,Count_median,Count_min,Count_max,WHO Region
Netherlands, 2005,16000[15000–17000],16000,15000,17000,Europe
New Zealand, 2005,1800[1600–2100],1800,1600,2100,Western Pacific
Nicaragua, 2005,6100[4600–8300],6100,4600,8300,Americas
Niger, 2005,40000[34000–46000],40000,34000,46000,Africa
Nigeria, 2005,1400000[1000000–1900000],1400000,1000000,1900000,Africa
Norway, 2005,3000[2700–3300],3000,2700,3300,Europe
Oman, 2005,1700[1600–1900],1700,1600,1900,Eastern Mediterranean
Pakistan, 2005,12000[10000–14000],12000,10000,14000,Eastern Mediterranean
Panama, 2005,16000[14000–17000],16000,14000,17000,Americas
Papua New Guinea, 2005,38000[34000–42000],38000,34000,42000,Western Pacific
Paraguay, 2005,19000[14000–25000],19000,14000,25000,Americas
Peru, 2005,65000[50000–91000],65000,50000,91000,Americas
Philippines, 2005,3700[3100–4300],3700,3100,4300,Western Pacific
Poland, 2005,na,,,,Europe
Portugal, 2005,37000[33000–42000],37000,33000,42000,Europe
Qatar, 2005,na,,,,Eastern Mediterranean
Republic of Korea, 2005,na,,,,Western Pacific
Republic of Moldova, 2005,12000[9600–16000],12000,9600,16000,Europe
Republic of North Macedonia, 2005,100[100–200],100,100,200,Europe
Romania, 2005,11000[9800–12000],11000,9800,12000,Europe
Russian Federation, 2005,na,,,,Europe
Rwanda, 2005,220000[190000–250000],220000,190000,250000,Africa
Saudi Arabia, 2005,na,,,,Eastern Mediterranean
Senegal, 2005,42000[38000–48000],42000,38000,48000,Africa
Serbia, 2005,1100[750–1500],1100,750,1500,Europe
Sierra Leone, 2005,51000[42000–61000],51000,42000,61000,Africa
Singapore, 2005,4100[3500–4700],4100,3500,4700,Western Pacific
Slovakia, 2005,500[200–500],500,200,500,Europe
Slovenia, 2005,na,,,,Europe
Somalia, 2005,20000[18000–23000],20000,18000,23000,Eastern Mediterranean
South Africa, 2005,5000000[4400000–5400000],5000000,4400000,5400000,Africa
South Sudan, 2005,120000[89000–150000],120000,89000,150000,Africa
Spain, 2005,120000[100000–130000],120000,100000,130000,Europe
Sri Lanka, 2005,3600[3100–4100],3600,3100,4100,South-East Asia
Sudan, 2005,29000[20000–40000],29000,20000,40000,Eastern Mediterranean
Suriname, 2005,4000[3000–5600],4000,3000,5600,Americas
Sweden, 2005,na,,,,Europe
Switzerland, 2005,na,,,,Europe
Syrian Arab Republic, 2005,500[500–500],500,500,500,Eastern Mediterranean
Tajikistan, 2005,5200[3700–6900],5200,3700,6900,Europe
Thailand, 2005,630000[510000–780000],630000,510000,780000,South-East Asia
Timor-Leste, 2005,na,,,,South-East Asia
Togo, 2005,100000[94000–110000],100000,94000,110000,Africa
Trinidad and Tobago, 2005,na,,,,Americas
Tunisia, 2005,640[500–1100],640,500,1100,Eastern Mediterranean
Turkey, 2005,na,,,,Europe
Turkmenistan, 2005,na,,,,Europe
Uganda, 2005,1100000[1000000–1100000],1100000,1000000,1100000,Africa
Ukraine, 2005,230000[220000–240000],230000,220000,240000,Europe
United Arab Emirates, 2005,na,,,,Eastern Mediterranean
United Kingdom of Great Britain and Northern Ireland, 2005,na,,,,Europe
United Republic of Tanzania, 2005,1200000[1000000–1300000],1200000,1000000,1300000,Africa
United States of America, 2005,na,,,,Americas
Uruguay, 2005,7600[6200–10000],7600,6200,10000,Americas
Uzbekistan, 2005,21000[19000–23000],21000,19000,23000,Europe
Venezuela (Bolivarian Republic of), 2005,na,,,,Americas
Viet Nam, 2005,180000[160000–210000],180000,160000,210000,Western Pacific
Yemen, 2005,2400[1500–4000],2400,1500,4000,Eastern Mediterranean
Zambia, 2005,920000[820000–1000000],920000,820000,1000000,Africa
Zimbabwe, 2005,1400000[1200000–1600000],1400000,1200000,1600000,Africa
Afghanistan, 2000,1600[1000–3500],1600,1000,3500,Eastern Mediterranean
Albania, 2000,na,,,,Europe
Algeria, 2000,1900[1700–2000],1900,1700,2000,Africa
Angola, 2000,87000[72000–110000],87000,72000,110000,Africa
Argentina, 2000,64000[55000–71000],64000,55000,71000,Americas
Armenia, 2000,950[580–1600],950,580,1600,Europe
Australia, 2000,13000[11000–15000],13000,11000,15000,Western Pacific
Austria, 2000,na,,,,Europe
Azerbaijan, 2000,na,,,,Europe
Bahamas, 2000,5100[4400–5900],5100,4400,5900,Americas
Bahrain, 2000,na,,,,Eastern Mediterranean
Bangladesh, 2000,940[800–1100],940,800,1100,South-East Asia
Barbados, 2000,1100[1000–1300],1100,1000,1300,Americas
Belarus, 2000,1400[1100–1900],1400,1100,1900,Europe
Belgium, 2000,na,,,,Europe
Belize, 2000,1700[1600–1800],1700,1600,1800,Americas
Benin, 2000,47000[31000–75000],47000,31000,75000,Africa
Bhutan, 2000,530[200–970],530,200,970,South-East Asia
Bolivia (Plurinational State of), 2000,21000[20000–23000],21000,20000,23000,Americas
Bosnia and Herzegovina, 2000,100[100–100],100,100,100,Europe
Botswana, 2000,280000[270000–300000],280000,270000,300000,Africa
Brazil, 2000,410000[320000–510000],410000,320000,510000,Americas
Brunei Darussalam, 2000,na,,,,Western Pacific
Bulgaria, 2000,500[500–500],500,500,500,Europe
Burkina Faso, 2000,140000[110000–170000],140000,110000,170000,Africa
Burundi, 2000,130000[110000–150000],130000,110000,150000,Africa
Cabo Verde, 2000,1600[1200–2500],1600,1200,2500,Africa
Cambodia, 2000,81000[73000–91000],81000,73000,91000,Western Pacific
Cameroon, 2000,370000[350000–410000],370000,350000,410000,Africa
Canada, 2000,na,,,,Americas
Central African Republic, 2000,160000[130000–190000],160000,130000,190000,Africa
Chad, 2000,80000[60000–100000],80000,60000,100000,Africa
Chile, 2000,14000[13000–16000],14000,13000,16000,Americas
China, 2000,na,,,,Western Pacific
Colombia, 2000,110000[91000–130000],110000,91000,130000,Americas
Comoros, 2000,100[100–100],100,100,100,Africa
Congo, 2000,80000[64000–96000],80000,64000,96000,Americas
Costa Rica, 2000,4300[3700–4700],4300,3700,4700,Americas
Côte d'Ivoire, 2000,590000[470000–740000],590000,470000,740000,Africa
Croatia, 2000,500[500–500],500,500,500,Europe
Cuba, 2000,4100[2900–5000],4100,2900,5000,Americas
Cyprus, 2000,na,,,,Europe
Czechia, 2000,510[500–580],510,500,580,Europe
Democratic People's Republic of Korea, 2000,na,,,,Western Pacific
Democratic Republic of the Congo, 2000,540000[470000–610000],540000,470000,610000,Africa
Denmark, 2000,4000[3600–4600],4000,3600,4600,Europe
Djibouti, 2000,9400[7200–12000],9400,7200,12000,Eastern Mediterranean
Dominican Republic, 2000,85000[62000–120000],85000,62000,120000,Americas
Ecuador, 2000,26000[15000–46000],26000,15000,46000,Americas
Egypt, 2000,1500[1400–1600],1500,1400,1600,Eastern Mediterranean
El Salvador, 2000,18000[14000–23000],18000,14000,23000,Americas
Equatorial Guinea, 2000,13000[9200–18000],13000,9200,18000,Africa
Eritrea, 2000,16000[12000–20000],16000,12000,20000,Africa
Estonia, 2000,3400[2900–3900],3400,2900,3900,Europe
Eswatini, 2000,110000[98000–120000],110000,98000,120000,Africa
Ethiopia, 2000,750000[570000–980000],750000,570000,980000,Africa
Fiji, 2000,na,,,,Western Pacific
Finland, 2000,1100[850–1400],1100,850,1400,Europe
France, 2000,82000[69000–97000],82000,69000,97000,Europe
Gabon, 2000,28000[20000–38000],28000,20000,38000,Africa
Gambia, 2000,9900[7200–13000],9900,7200,13000,Africa
Georgia, 2000,980[720–1300],980,720,1300,Europe
Germany, 2000,45000[37000–54000],45000,37000,54000,Europe
Ghana, 2000,270000[240000–300000],270000,240000,300000,Africa
Greece, 2000,na,,,,Europe
Guatemala, 2000,44000[41000–47000],44000,41000,47000,Americas
Guinea, 2000,83000[67000–100000],83000,67000,100000,Africa
Guinea-Bissau, 2000,22000[20000–25000],22000,20000,25000,Africa
Guyana, 2000,2300[1600–3100],2300,1600,3100,Americas
Haiti, 2000,150000[130000–180000],150000,130000,180000,Americas
Honduras, 2000,40000[34000–49000],40000,34000,49000,Americas
Hungary, 2000,830[700–950],830,700,950,Europe
Iceland, 2000,100[100–200],100,100,200,Europe
India, 2000,na,,,,South-East Asia
Indonesia, 2000,80000[72000–89000],80000,72000,89000,South-East Asia
Iran (Islamic Republic of), 2000,16000[7900–35000],16000,7900,35000,Eastern Mediterranean
Ireland, 2000,1900[1700–2200],1900,1700,2200,Europe
Israel, 2000,2700[2400–3100],2700,2400,3100,Europe
Italy, 2000,68000[57000–78000],68000,57000,78000,Europe
Jamaica, 2000,41000[37000–46000],41000,37000,46000,Americas
Japan, 2000,6200[5100–7200],6200,5100,7200,Western Pacific
Jordan, 2000,100[100–200],100,100,200,Eastern Mediterranean
Kazakhstan, 2000,1100[1100–1200],1100,1100,1200,Europe
Kenya, 2000,1700000[1400000–2000000],1700000,1400000,2000000,Africa
Kuwait, 2000,200[200–200],200,200,200,Eastern Mediterranean
Kyrgyzstan, 2000,710[580–840],710,580,840,Europe
Lao People's Democratic Republic, 2000,2200[2000–2400],2200,2000,2400,Western Pacific
Latvia, 2000,2300[2200–2500],2300,2200,2500,Europe
Lebanon, 2000,910[790–1000],910,790,1000,Eastern Mediterranean
Lesotho, 2000,260000[240000–290000],260000,240000,290000,Africa
Liberia, 2000,43000[41000–45000],43000,41000,45000,Africa
Libya, 2000,950[870–1000],950,870,1000,Eastern Mediterranean
Lithuania, 2000,na,,,,Europe
Luxembourg, 2000,500[500–500],500,500,500,Europe
Madagascar, 2000,13000[7900–20000],13000,7900,20000,Africa
Malawi, 2000,810000[740000–860000],810000,740000,860000,Africa
Malaysia, 2000,55000[48000–65000],55000,48000,65000,Western Pacific
Maldives, 2000,na,,,,South-East Asia
Mali, 2000,110000[91000–130000],110000,91000,130000,Africa
Malta, 2000,na,,,,Europe
Mauritania, 2000,5500[4500–6500],5500,4500,6500,Africa
Mauritius, 2000,3200[1500–6000],3200,1500,6000,Africa
Mexico, 2000,130000[94000–190000],130000,94000,190000,Americas
Mongolia, 2000,100[100–100],100,100,100,Western Pacific
Montenegro, 2000,100[100–100],100,100,100,Europe
Morocco, 2000,9700[7800–13000],9700,7800,13000,Eastern Mediterranean
Mozambique, 2000,840000[670000–1000000],840000,670000,1000000,Africa
Myanmar, 2000,150000[130000–170000],150000,130000,170000,South-East Asia
Namibia, 2000,140000[130000–160000],140000,130000,160000,Africa
Nepal, 2000,16000[14000–17000],16000,14000,17000,South-East Asia
Netherlands, 2000,11000[11000–12000],11000,11000,12000,Europe
New Zealand, 2000,1300[1100–1500],1300,1100,1500,Western Pacific
Nicaragua, 2000,3600[2100–5300],3600,2100,5300,Americas
Niger, 2000,37000[31000–44000],37000,31000,44000,Africa
Nigeria, 2000,1300000[940000–1700000],1300000,940000,1700000,Africa
Norway, 2000,1900[1700–2100],1900,1700,2100,Europe
Oman, 2000,1300[1100–1400],1300,1100,1400,Eastern Mediterranean
Pakistan, 2000,500[500–520],500,500,520,Eastern Mediterranean
Panama, 2000,11000[10000–12000],11000,10000,12000,Americas
Papua New Guinea, 2000,20000[17000–25000],20000,17000,25000,Western Pacific
Paraguay, 2000,14000[7100–21000],14000,7100,21000,Americas
Peru, 2000,71000[56000–94000],71000,56000,94000,Americas
Philippines, 2000,1000[910–1200],1000,910,1200,Western Pacific
Poland, 2000,na,,,,Europe
Portugal, 2000,32000[27000–37000],32000,27000,37000,Europe
Qatar, 2000,na,,,,Eastern Mediterranean
Republic of Korea, 2000,na,,,,Western Pacific
Republic of Moldova, 2000,10000[8000–13000],10000,8000,13000,Europe
Republic of North Macedonia, 2000,100[100–100],100,100,100,Europe
Romania, 2000,7500[6900–8100],7500,6900,8100,Europe
Russian Federation, 2000,na,,,,Europe
Rwanda, 2000,240000[220000–280000],240000,220000,280000,Africa
Saudi Arabia, 2000,na,,,,Eastern Mediterranean
Senegal, 2000,33000[29000–39000],33000,29000,39000,Africa
Serbia, 2000,1000[660–1400],1000,660,1400,Europe
Sierra Leone, 2000,40000[31000–50000],40000,31000,50000,Africa
Singapore, 2000,2900[2600–3300],2900,2600,3300,Western Pacific
Slovakia, 2000,200[100–200],200,100,200,Europe
Slovenia, 2000,na,,,,Europe
Somalia, 2000,16000[14000–20000],16000,14000,20000,Eastern Mediterranean
South Africa, 2000,3300000[2900000–3700000],3300000,2900000,3700000,Africa
South Sudan, 2000,90000[56000–120000],90000,56000,120000,Africa
Spain, 2000,92000[78000–110000],92000,78000,110000,Europe
Sri Lanka, 2000,2200[1900–2400],2200,1900,2400,South-East Asia
Sudan, 2000,15000[7500–29000],15000,7500,29000,Eastern Mediterranean
Suriname, 2000,3100[2300–4400],3100,2300,4400,Americas
Sweden, 2000,na,,,,Europe
Switzerland, 2000,na,,,,Europe
Syrian Arab Republic, 2000,500[500–500],500,500,500,Eastern Mediterranean
Tajikistan, 2000,1400[780–2700],1400,780,2700,Europe
Thailand, 2000,740000[610000–890000],740000,610000,890000,South-East Asia
Timor-Leste, 2000,na,,,,South-East Asia
Togo, 2000,94000[87000–100000],94000,87000,100000,Africa
Trinidad and Tobago, 2000,na,,,,Americas
Tunisia, 2000,500[200–710],500,200,710,Eastern Mediterranean
Turkey, 2000,na,,,,Europe
Turkmenistan, 2000,na,,,,Europe
Uganda, 2000,1000000[930000–1100000],1000000,930000,1100000,Africa
Ukraine, 2000,170000[150000–180000],170000,150000,180000,Europe
United Arab Emirates, 2000,na,,,,Eastern Mediterranean
United Kingdom of Great Britain and Northern Ireland, 2000,na,,,,Europe
United Republic of Tanzania, 2000,1100000[1000000–1200000],1100000,1000000,1200000,Africa
United States of America, 2000,na,,,,Americas
Uruguay, 2000,6000[4200–12000],6000,4200,12000,Americas
Uzbekistan, 2000,14000[13000–16000],14000,13000,16000,Europe
Venezuela (Bolivarian Republic of), 2000,na,,,,Americas
Viet Nam, 2000,120000[110000–130000],120000,110000,130000,Western Pacific
Yemen, 2000,1100[680–2500],1100,680,2500,Eastern Mediterranean
Zambia, 2000,890000[800000–1000000],890000,800000,1000000,Africa
Zimbabwe, 2000,1600000[1400000–1900000],1600000,1400000,1900000,Africa
