Country,Year,Count,Count_median,Count_min,Count_max,WHO Region
Ecuador, 2005,0.4[0.2–0.6],0.4,0.2,0.6,Americas
Egypt, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
El Salvador, 2005,0.7[0.5–0.9],0.7,0.5,0.9,Americas
Equatorial Guinea, 2005,4.6[3.6–5.9],4.6,3.6,5.9,Africa
Eritrea, 2005,1.1[0.8–1.5],1.1,0.8,1.5,Africa
Estonia, 2005,0.7[0.6–0.7],0.7,0.6,0.7,Europe
Eswatini, 2005,26.3[23.9–27.8],26.3,23.9,27.8,Africa
Ethiopia, 2005,1.7[1.2–2.2],1.7,1.2,2.2,Africa
Fiji, 2005,na,,,,Western Pacific
Finland, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
France, 2005,0.3[0.3–0.3],0.3,0.3,0.3,Europe
Gabon, 2005,4.2[3.3–5.3],4.2,3.3,5.3,Africa
Gambia, 2005,1.8[1.4–2.3],1.8,1.4,2.3,Africa
Georgia, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Germany, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Ghana, 2005,2.1[1.8–2.4],2.1,1.8,2.4,Africa
Greece, 2005,na,,,,Europe
Guatemala, 2005,0.7[0.6–0.7],0.7,0.6,0.7,Americas
Guinea, 2005,1.7[1.4–1.9],1.7,1.4,1.9,Africa
Guinea-Bissau, 2005,3.8[3.4–4.2],3.8,3.4,4.2,Africa
Guyana, 2005,1.3[1.1–1.4],1.3,1.1,1.4,Americas
Haiti, 2005,2.4[2.2–2.6],2.4,2.2,2.6,Americas
Honduras, 2005,0.7[0.5–0.9],0.7,0.5,0.9,Americas
Hungary, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Iceland, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
India, 2005,na,,,,South-East Asia
Indonesia, 2005,0.2[0.2–0.3],0.2,0.2,0.3,South-East Asia
Iran (Islamic Republic of), 2005,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Ireland, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Israel, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Italy, 2005,0.2[0.2–0.3],0.2,0.2,0.3,Europe
Jamaica, 2005,2.3[2.0–2.6],2.3,2.0,2.6,Americas
Japan, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Western Pacific
Jordan, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Kazakhstan, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Kenya, 2005,7.3[6.2–8.7],7.3,6.2,8.7,Africa
Kuwait, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Kyrgyzstan, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Lao People's Democratic Republic, 2005,0.2[0.2–0.3],0.2,0.2,0.3,Western Pacific
Latvia, 2005,0.3[0.2–0.3],0.3,0.2,0.3,Europe
Lebanon, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Lesotho, 2005,23.8[22.9–24.8],23.8,22.9,24.8,Africa
Liberia, 2005,2.1[1.9–2.4],2.1,1.9,2.4,Africa
Libya, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Lithuania, 2005,na,,,,Europe
Luxembourg, 2005,0.2[0.1–0.2],0.2,0.1,0.2,Europe
Madagascar, 2005,0.2[0.2–0.2],0.2,0.2,0.2,Africa
Malawi, 2005,12.2[10.5–13.4],12.2,10.5,13.4,Africa
Malaysia, 2005,0.4[0.4–0.5],0.4,0.4,0.5,Western Pacific
Maldives, 2005,na,,,,South-East Asia
Mali, 2005,1.5[1.2–1.8],1.5,1.2,1.8,Africa
Malta, 2005,na,,,,Europe
Mauritania, 2005,0.5[0.4–0.6],0.5,0.4,0.6,Africa
Mauritius, 2005,1.0[0.8–1.4],1.0,0.8,1.4,Africa
Mexico, 2005,0.2[0.2–0.3],0.2,0.2,0.3,Americas
Mongolia, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Western Pacific
Montenegro, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Morocco, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Mozambique, 2005,11.1[8.9–13.8],11.1,8.9,13.8,Africa
Myanmar, 2005,0.8[0.6–0.9],0.8,0.6,0.9,South-East Asia
Namibia, 2005,13.8[12.6–14.7],13.8,12.6,14.7,Africa
Nepal, 2005,0.2[0.2–0.2],0.2,0.2,0.2,South-East Asia
Netherlands, 2005,0.2[0.1–0.2],0.2,0.1,0.2,Europe
New Zealand, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Western Pacific
Nicaragua, 2005,0.2[0.1–0.3],0.2,0.1,0.3,Americas
Niger, 2005,0.6[0.5–0.6],0.6,0.5,0.6,Africa
Nigeria, 2005,1.7[1.2–2.2],1.7,1.2,2.2,Africa
Norway, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Oman, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Pakistan, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Panama, 2005,0.8[0.7–0.8],0.8,0.7,0.8,Americas
Papua New Guinea, 2005,1.0[0.9–1.1],1.0,0.9,1.1,Western Pacific
Paraguay, 2005,0.6[0.4–0.8],0.6,0.4,0.8,Americas
Peru, 2005,0.4[0.3–0.5],0.4,0.3,0.5,Americas
Philippines, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Western Pacific
Poland, 2005,na,,,,Europe
Portugal, 2005,0.6[0.5–0.6],0.6,0.5,0.6,Europe
Qatar, 2005,na,,,,Eastern Mediterranean
Republic of Korea, 2005,na,,,,Western Pacific
Republic of Moldova, 2005,0.4[0.3–0.5],0.4,0.3,0.5,Europe
Republic of North Macedonia, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Romania, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Russian Federation, 2005,na,,,,Europe
Rwanda, 2005,3.8[3.2–4.3],3.8,3.2,4.3,Africa
Saudi Arabia, 2005,na,,,,Eastern Mediterranean
Senegal, 2005,0.7[0.6–0.7],0.7,0.6,0.7,Africa
Serbia, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Sierra Leone, 2005,1.5[1.3–1.9],1.5,1.3,1.9,Africa
Singapore, 2005,0.2[0.1–0.2],0.2,0.1,0.2,Western Pacific
Slovakia, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Slovenia, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Somalia, 2005,0.4[0.3–0.4],0.4,0.3,0.4,Eastern Mediterranean
South Africa, 2005,16.8[15.0–18.4],16.8,15.0,18.4,Africa
South Sudan, 2005,2.5[2.0–3.2],2.5,2.0,3.2,Africa
Spain, 2005,0.4[0.3–0.4],0.4,0.3,0.4,Europe
Sri Lanka, 2005,0.1[0.1–0.1],0.1,0.1,0.1,South-East Asia
Sudan, 2005,0.2[0.1–0.2],0.2,0.1,0.2,Eastern Mediterranean
Suriname, 2005,1.3[1.0–1.9],1.3,1.0,1.9,Americas
Sweden, 2005,na,,,,Europe
Switzerland, 2005,na,,,,Europe
Syrian Arab Republic, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Tajikistan, 2005,0.1[0.1–0.2],0.1,0.1,0.2,Europe
Thailand, 2005,1.6[1.3–2.1],1.6,1.3,2.1,South-East Asia
Timor-Leste, 2005,na,,,,South-East Asia
Togo, 2005,3.3[3.0–3.6],3.3,3.0,3.6,Africa
Trinidad and Tobago, 2005,na,,,,Americas
Tunisia, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Turkey, 2005,na,,,,Europe
Turkmenistan, 2005,na,,,,Europe
Uganda, 2005,7.3[6.9–7.6],7.3,6.9,7.6,Africa
Ukraine, 2005,0.9[0.8–0.9],0.9,0.8,0.9,Europe
United Arab Emirates, 2005,na,,,,Eastern Mediterranean
United Kingdom of Great Britain and Northern Ireland, 2005,na,,,,Europe
United Republic of Tanzania, 2005,5.4[4.6–6.1],5.4,4.6,6.1,Africa
United States of America, 2005,na,,,,Americas
Uruguay, 2005,0.4[0.3–0.5],0.4,0.3,0.5,Americas
Uzbekistan, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Venezuela (Bolivarian Republic of), 2005,na,,,,Americas
Viet Nam, 2005,0.3[0.3–0.4],0.3,0.3,0.4,Western Pacific
Yemen, 2005,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Zambia, 2005,14.1[12.5–15.8],14.1,12.5,15.8,Africa
Zimbabwe, 2005,19.0[16.2–21.6],19.0,16.2,21.6,Africa
Afghanistan, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Albania, 2000,na,,,,Europe
Algeria, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Africa
Angola, 2000,1.0[0.8–1.2],1.0,0.8,1.2,Africa
Argentina, 2000,0.3[0.3–0.3],0.3,0.3,0.3,Americas
Armenia, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Australia, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Western Pacific
Austria, 2000,na,,,,Europe
Azerbaijan, 2000,na,,,,Europe
Bahamas, 2000,2.6[2.2–3.1],2.6,2.2,3.1,Americas
Bahrain, 2000,na,,,,Eastern Mediterranean
Bangladesh, 2000,0.1[0.1–0.1],0.1,0.1,0.1,South-East Asia
Barbados, 2000,0.7[0.6–0.8],0.7,0.6,0.8,Americas
Belarus, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Belgium, 2000,na,,,,Europe
Belize, 2000,1.3[1.2–1.4],1.3,1.2,1.4,Americas
Benin, 2000,1.3[0.9–2.2],1.3,0.9,2.2,Africa
Bhutan, 2000,0.2[0.1–0.3],0.2,0.1,0.3,South-East Asia
Bolivia (Plurinational State of), 2000,0.5[0.5–0.5],0.5,0.5,0.5,Americas
Bosnia and Herzegovina, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Botswana, 2000,26.3[25.1–27.2],26.3,25.1,27.2,Africa
Brazil, 2000,0.4[0.3–0.5],0.4,0.3,0.5,Americas
Brunei Darussalam, 2000,na,,,,Western Pacific
Bulgaria, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Burkina Faso, 2000,2.1[1.7–2.6],2.1,1.7,2.6,Africa
Burundi, 2000,3.3[2.8–4.0],3.3,2.8,4.0,Africa
Cabo Verde, 2000,0.7[0.5–1.1],0.7,0.5,1.1,Africa
Cambodia, 2000,1.2[1.1–1.4],1.2,1.1,1.4,Western Pacific
Cameroon, 2000,4.6[4.3–4.9],4.6,4.3,4.9,Africa
Canada, 2000,na,,,,Americas
Central African Republic, 2000,7.2[6.1–8.6],7.2,6.1,8.6,Africa
Chad, 2000,1.8[1.3–2.3],1.8,1.3,2.3,Africa
Chile, 2000,0.2[0.1–0.2],0.2,0.1,0.2,Americas
China, 2000,na,,,,Western Pacific
Colombia, 2000,0.4[0.4–0.5],0.4,0.4,0.5,Americas
Comoros, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Africa
Congo, 2000,4.2[3.4–5.1],4.2,3.4,5.1,Americas
Costa Rica, 2000,0.2[0.2–0.2],0.2,0.2,0.2,Americas
Côte d'Ivoire, 2000,5.6[4.4–7.2],5.6,4.4,7.2,Africa
Croatia, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Cuba, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Americas
Cyprus, 2000,na,,,,Europe
Czechia, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Democratic People's Republic of Korea, 2000,na,,,,Western Pacific
Democratic Republic of the Congo, 2000,1.8[1.5–2.1],1.8,1.5,2.1,Africa
Denmark, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Djibouti, 2000,2.2[1.7–2.9],2.2,1.7,2.9,Eastern Mediterranean
Dominican Republic, 2000,1.7[1.3–2.4],1.7,1.3,2.4,Americas
Ecuador, 2000,0.4[0.2–0.6],0.4,0.2,0.6,Americas
Egypt, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
El Salvador, 2000,0.6[0.5–0.7],0.6,0.5,0.7,Americas
Equatorial Guinea, 2000,3.5[2.5–4.9],3.5,2.5,4.9,Africa
Eritrea, 2000,1.5[1.1–1.9],1.5,1.1,1.9,Africa
Estonia, 2000,0.4[0.4–0.5],0.4,0.4,0.5,Europe
Eswatini, 2000,24.6[23.0–26.5],24.6,23.0,26.5,Africa
Ethiopia, 2000,2.4[1.7–3.2],2.4,1.7,3.2,Africa
Fiji, 2000,na,,,,Western Pacific
Finland, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
France, 2000,0.2[0.2–0.3],0.2,0.2,0.3,Europe
Gabon, 2000,4.1[3.0–5.6],4.1,3.0,5.6,Africa
Gambia, 2000,1.4[1.1–1.9],1.4,1.1,1.9,Africa
Georgia, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Germany, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Ghana, 2000,2.4[2.1–2.7],2.4,2.1,2.7,Africa
Greece, 2000,na,,,,Europe
Guatemala, 2000,0.7[0.7–0.7],0.7,0.7,0.7,Americas
Guinea, 2000,1.7[1.4–2.0],1.7,1.4,2.0,Africa
Guinea-Bissau, 2000,3.2[2.8–3.5],3.2,2.8,3.5,Africa
Guyana, 2000,0.6[0.4–0.7],0.6,0.4,0.7,Americas
Haiti, 2000,3.0[2.7–3.4],3.0,2.7,3.4,Americas
Honduras, 2000,1.1[0.9–1.4],1.1,0.9,1.4,Americas
Hungary, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Iceland, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
India, 2000,na,,,,South-East Asia
Indonesia, 2000,0.1[0.1–0.1],0.1,0.1,0.1,South-East Asia
Iran (Islamic Republic of), 2000,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Ireland, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Israel, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Italy, 2000,0.2[0.2–0.2],0.2,0.2,0.2,Europe
Jamaica, 2000,2.8[2.5–3.0],2.8,2.5,3.0,Americas
Japan, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Western Pacific
Jordan, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Kazakhstan, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Kenya, 2000,9.8[8.4–11.7],9.8,8.4,11.7,Africa
Kuwait, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Kyrgyzstan, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Lao People's Democratic Republic, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Western Pacific
Latvia, 2000,0.2[0.2–0.2],0.2,0.2,0.2,Europe
Lebanon, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Lesotho, 2000,23.2[21.5–24.8],23.2,21.5,24.8,Africa
Liberia, 2000,2.6[2.4–2.7],2.6,2.4,2.7,Africa
Libya, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Lithuania, 2000,na,,,,Europe
Luxembourg, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Madagascar, 2000,0.2[0.1–0.3],0.2,0.1,0.3,Africa
Malawi, 2000,14.4[13.0–15.4],14.4,13.0,15.4,Africa
Malaysia, 2000,0.4[0.3–0.5],0.4,0.3,0.5,Western Pacific
Maldives, 2000,na,,,,South-East Asia
Mali, 2000,1.8[1.5–2.2],1.8,1.5,2.2,Africa
Malta, 2000,na,,,,Europe
Mauritania, 2000,0.4[0.4–0.5],0.4,0.4,0.5,Africa
Mauritius, 2000,0.4[0.2–0.8],0.4,0.2,0.8,Africa
Mexico, 2000,0.2[0.2–0.3],0.2,0.2,0.3,Americas
Mongolia, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Western Pacific
Montenegro, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Morocco, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Mozambique, 2000,8.8[7.0–11.0],8.8,7.0,11.0,Africa
Myanmar, 2000,0.6[0.5–0.7],0.6,0.5,0.7,South-East Asia
Namibia, 2000,14.0[13.1–15.1],14.0,13.1,15.1,Africa
Nepal, 2000,0.1[0.1–0.1],0.1,0.1,0.1,South-East Asia
Netherlands, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
New Zealand, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Western Pacific
Nicaragua, 2000,0.1[0.1–0.2],0.1,0.1,0.2,Americas
Niger, 2000,0.6[0.5–0.7],0.6,0.5,0.7,Africa
Nigeria, 2000,1.8[1.3–2.4],1.8,1.3,2.4,Africa
Norway, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Oman, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Pakistan, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Panama, 2000,0.6[0.6–0.7],0.6,0.6,0.7,Americas
Papua New Guinea, 2000,0.6[0.5–0.8],0.6,0.5,0.8,Western Pacific
Paraguay, 2000,0.5[0.3–0.7],0.5,0.3,0.7,Americas
Peru, 2000,0.5[0.4–0.6],0.5,0.4,0.6,Americas
Philippines, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Western Pacific
Poland, 2000,na,,,,Europe
Portugal, 2000,0.5[0.5–0.6],0.5,0.5,0.6,Europe
Qatar, 2000,na,,,,Eastern Mediterranean
Republic of Korea, 2000,na,,,,Western Pacific
Republic of Moldova, 2000,0.3[0.3–0.4],0.3,0.3,0.4,Europe
Republic of North Macedonia, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Romania, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Russian Federation, 2000,na,,,,Europe
Rwanda, 2000,5.2[4.6–5.9],5.2,4.6,5.9,Africa
Saudi Arabia, 2000,na,,,,Eastern Mediterranean
Senegal, 2000,0.6[0.5–0.7],0.6,0.5,0.7,Africa
Serbia, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Sierra Leone, 2000,1.5[1.2–1.9],1.5,1.2,1.9,Africa
Singapore, 2000,0.1[0.1–0.2],0.1,0.1,0.2,Western Pacific
Slovakia, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Slovenia, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Somalia, 2000,0.4[0.3–0.4],0.4,0.3,0.4,Eastern Mediterranean
South Africa, 2000,12.6[10.7–13.9],12.6,10.7,13.9,Africa
South Sudan, 2000,2.5[1.5–3.2],2.5,1.5,3.2,Africa
Spain, 2000,0.4[0.3–0.4],0.4,0.3,0.4,Europe
Sri Lanka, 2000,0.1[0.1–0.1],0.1,0.1,0.1,South-East Asia
Sudan, 2000,0.1[0.1–0.2],0.1,0.1,0.2,Eastern Mediterranean
Suriname, 2000,1.1[0.8–1.6],1.1,0.8,1.6,Americas
Sweden, 2000,na,,,,Europe
Switzerland, 2000,na,,,,Europe
Syrian Arab Republic, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Tajikistan, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Thailand, 2000,2.0[1.6–2.5],2.0,1.6,2.5,South-East Asia
Timor-Leste, 2000,na,,,,South-East Asia
Togo, 2000,3.6[3.2–3.8],3.6,3.2,3.8,Africa
Trinidad and Tobago, 2000,na,,,,Americas
Tunisia, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Turkey, 2000,na,,,,Europe
Turkmenistan, 2000,na,,,,Europe
Uganda, 2000,8.3[7.7–8.9],8.3,7.7,8.9,Africa
Ukraine, 2000,0.6[0.6–0.7],0.6,0.6,0.7,Europe
United Arab Emirates, 2000,na,,,,Eastern Mediterranean
United Kingdom of Great Britain and Northern Ireland, 2000,na,,,,Europe
United Republic of Tanzania, 2000,6.3[5.5–6.9],6.3,5.5,6.9,Africa
United States of America, 2000,na,,,,Americas
Uruguay, 2000,0.3[0.2–0.6],0.3,0.2,0.6,Americas
Uzbekistan, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Venezuela (Bolivarian Republic of), 2000,na,,,,Americas
Viet Nam, 2000,0.3[0.2–0.3],0.3,0.2,0.3,Western Pacific
Yemen, 2000,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Zambia, 2000,16.2[14.3–18.2],16.2,14.3,18.2,Africa
Zimbabwe, 2000,25.0[21.2–28.3],25.0,21.2,28.3,Africa
